Authority Code,Tax Type,Formula Number,Start Date,End Date,Single,Married Not Defined Further,Married Claim Self File Separate,Married Two Working,Married One Working,Head of Household,Married Multiple Employers,Widow or Widower,Married Not Living with Spouse,Married Claim All File Joint,Married Claim Half File Joint,Married Claim All File Separate,Married Claim None File Joint,Married Living with Spouse,Married Single Tax Rate,Civil Union,Civil Union Single Tax Rate,Spouse is Nonres Alien,Married 19,Married 20,Married 21,Married 22,Married 23,Married 24,Married 25,Default Marital Status,Withholding Form
00000000,001,1,20200103,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,001,1,20200103,00000000,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
00000000,001,2,20200103,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,001,2,20200103,00000000,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
00000000,001,3,20200103,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,001,3,20200103,00000000,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
00000000,070,1,20200102,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,071,1,20090102,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,071,2,20090102,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00000000,072,1,20090101,00000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00010000,001,1,20200101,00000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00010000,070,1,20200101,00000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00010000,071,1,20090217,00000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00010000,072,1,20090217,00000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00010000,075,1,20200101,00000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
00050000,001,1,20200301,00000000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00050000,001,2,20200301,00000000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00050000,070,1,20200301,00000000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00050000,070,2,20200301,00000000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00050000,071,1,20060101,00000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
